"number","title","pageid","namespace","length","touched"
"1","अंहु","1022875","","723","20200731160838"
"2","अलाबु","7711017","","1071","20211114181219"
"3","अश्रु","899126","","2501","20211230060540"
"4","आयु","362966","","2454","20220601144416"
"5","आशु","1062208","","1348","20210127152530"
"6","क्याकु","7806636","","474","20201020153636"
"7","क्षु","6660256","","372","20210426070604"
"8","जतु","6096369","","716","20211024055038"
"9","जानु","904318","","1701","20211230061421"
"10","तर्कु","1090738","","914","20200709074621"
"11","दानु","7138709","","643","20220101060504"
"12","दारु","901009","","1700","20210304051840"
"13","द्रु","1125449","","739","20210610135007"
"14","धनु","5407219","","1181","20211230071728"
"15","पलाण्डु","859235","","659","20211230073013"
"16","पशु","334500","","1627","20220321012856"
"17","पितु","6138651","","744","20220210063810"
"18","भोगवस्तु","7985436","","970","20210221171156"
"19","मधु","679731","","3550","20220328163423"
"20","मस्तु","7342259","","160","20200906211124"
"21","मृदु","1415905","","2342","20220527041330"
"22","लघु","918747","","3488","20220529075158"
"23","वसु","1138760","","2083","20220224203748"
"24","वस्तु","183394","","2572","20220508210037"
"25","वास्तु","1138724","","1416","20211230082444"
"26","वीडु","7846133","","802","20210121045920"
"27","वीळु","7846132","","748","20210121045957"
"28","श्मश्रु","6279512","","1036","20220101061849"
"29","साधु","1139483","","3356","20220205044702"
"30","हनु","904289","","1631","20190508041102"
